"jurisdicción";"número";"superficie_en_ha";"porcentaje_de_superficie_protegida"
"Buenos Aires";"45";"1642974";"5.34"
"Catamarca";"5";"2316546";"22.58"
"Ciudad A. de Buenos Aires";"4";"407";"1.92"
"Chaco";"18";"938414";"9.42"
"Chubut";"35";"5887525";"25.97"
"Córdoba";"15";"1563450";"9.34"
"Corrientes";"14";"1502362";"17.17"
"Entre Ríos";"28";"625802";"7.94"
"Formosa";"16";"1442592";"20.02"
"Jujuy";"17";"2146429";"40.33"
"La Pampa";"14";"207917";"1.45"
"La Rioja";"10";"702150";"7.83"
"Mendoza";"23";"2260790";"15.19"
"Misiones";"77";"468359";"15.72"
"Neuquén ";"18";"1106105";"11.76"
"Río Negro";"13";"4605558";"22.69"
"Salta";"24";"2739657";"17.62"
"San Juan";"16";"2442942";"27.25"
"San Luis";"13";"426109";"5.55"
"Santa Cruz";"37";"1906832";"7.82"
"Santa Fe";"28";"1047310";"7.87"
"Santiago del Estero";"3";"221119";"1.62"
"Tierra del Fuego ";"9";"257646";"11.66"
"Tucumán";"12";"488541";"21.69"
"Áreas Marinas Protegidas";"3";"12917061";"5.52"
"Espacio marítimo argentino";"34";"16464409";"7.05"
